Waypoint,TreeID,X_coord,Y_coord,Date,D60 ,Point1,Point2,Point3,Point4,Point5,Aspect,Coppice,Pix.mm,Notes
BDQULA021,QULA021,-98.85503,29.66271,8/8/2026,39,13.53,18.32,19.88,20.09,13.99,95E,,11.811,
BDQULA022,QULA022,-98.85265,29.66348,8/8/2026,14,7.98,5.34,7.6,10.65,,173S,,11.811,
BDQULA023,QULA023,-98.85254,29.66352,8/8/2026,35,17.8,17.86,16.7,13.71,15.07,132SE,,11.811,
BDQUFU044,QUFU044,-98.85308,29.66195,8/8/2026,15,10.79,9.96,12.33,10.22,,90E,,11.811,two trunks from single root
BDQUFU045,QUFU045,-98.85294,29.66201,8/8/2026,33,15.16,23.91,15.65,17.6,19.14,42NE,,11.811,
BDQULA024,QULA024,-98.849157,29.66244,8/8/2026,20,10.14,9.53,7.77,12.41,12.31,230SW,,11.811,
BDQULA025,QULA025,-98.8493,29.662302,8/8/2026,36.9,18.49,13.05,14.26,13.15,14.86,315NW,,11.811,
UVQUFU047,QUFU047,-99.9225,29.52084,8/8/2026,11,10.64,9.83,8.15,6.88,,262W,,11.811,
RQULA034,QULA034,-99.972526,29.916814,8/9/2026,20,14.61,12.61,14.14,12.13,12.35,142SE,,11.811,
RQULA035,QULA035,-99.972135,29.917532,8/9/2026,19,15.76,10.06,8.23,10.33,6.57,99E,,11.811,
RQULA036,QULA036,-99.973271,29.916719,8/9/2026,57,21.65,20.53,18.42,21.34,23.63,159S,has lots of knots,11.811,
RQULA037,QULA037,-99.97321,29.916654,8/9/2026,40,17.01,16.04,14.54,19.46,17.57,170S,Lignotubers,11.811,
BRQUST016,QUST016,99.02856,31.855,8/29/2026,31.5,29.23,31.9,24.71,21.86,26.64,220SW,,11.811,
BRQUST017,QUST017,99.02873,31.8549,8/29/2026,37,38.91,25.42,38.88,31.31,24.09,282W,,11.811,
BRQUST018,QUST018,99.02839,31.85456,8/29/2026,40.5,31.85,25.86,30.26,29.29,28.52,221SW,,11.811,
BRQUST020,QUST020,99.02746,31.85364,8/29/2026,18.45,18.71,16.84,15.52,18.04,,,,11.811,
BRQUST021,QUST021,99.0209,31.85525,8/29/2026,19,24.38,25.97,19.33,21.96,,253W,,11.811,
BRQUST023,QUST023,99.02225,31.85542,8/29/2026,20,15.38,19.31,36.61,16.74,,135SE,,11.811,
