Waypoint,Tree ID,X_coord,Y_coord,Date,D60 (cm),Point 1(mm),Point 2 (mm),Point 3 (mm),Point 4 (mm),Point 5 (mm),Aspect,Coppice,Pix.mm,Notes
KRQULA001,QULA001,-99.40227,30.06480,5/23/2026,25,13.78,10.65,9.57,14.22,14.63,,,,
KRQULA002,QULA002,-99.40228,30.06473,5/23/2026,29,9.23,10.36,9.90,11.24,9.52,,,,
KRQUFU001,QUFU001,-99.40887,30.06423,5/24/2026,24,6.97,16.26,15.67,18.43,13.01,,,,
KRQUFU002,QUFU002,-99.40916,30.06416,5/24/2026,47,13.56,20.19,24.92,19.02,22.49,,,,
KRQULA003,QULA003,-99.40855,30.06486,5/24/2026,30,14.68,14.77,11.00,18.63,18.44,,,,
KRQULA007,QULA004,-99.40475,30.06257,6/10/2026,36.5,12.46,9.56,15.32,8.06,12.31,342N,,,
KRQUBU2016,QUBU2016,-99.40530,30.06317,6/10/2026,44,9.7,11.76,6.62,10.35,10.22,17N,,,
KRQUSIB001,QUSIB001,-99.40437,30.06251,6/10/2026,16.8,5.49,6.15,5.05,4.86,6.02,6N,,confused with shin oak,
KRQUFU013,QUFU013,-99.40230,30.06250,6/10/2026,36,9.65,12.14,17.23,18.27,13.88,22N,,,
KRQUFU014,QUFU014,-99.40020,30.06481,6/10/2026,12.5,11.97,10.45,7.45,10.45,,7N,,,only 4 drill points because size class was small
KRQULA008,QULA005,-99.39993,30.06520,6/10/2026,29.2,13.02,12.08,13.62,13.21,12.08,6N,,,
KRQUSIB02,QUSIB002,-99.39969,30.06620,6/10/2026,13.6,9.12,7.26,4.91,4.17,,6N,,confused with shin oak,only 4 drill points because size class was small
KRQULA010,QULA007,-99.40326,30.06485,6/11/2026,19,14.44,10.84,12.11,13.38,15.81,16N,,,
KRQULA011,QULA008,-99.40356,30.06503,6/11/2026,45,32.42,30.16,16.57,14.95,20.35,216SW,,,
KRQUSIB003,QUSIB003,-99.40335,30.06598,6/11/2026,22,4.83,6.11,4.01,4.14,9.73,227SW,,confused with shin oak,
KRQUSIB004,QUSIB004,-99.40343,30.06574,6/11/2026,22.5,7.96,4.76,8.6,7.61,6.78,300NW,Yes,confused with shin oak,
KRQUBU2023,QUBU2023,-99.40364,30.06768,6/11/2026,33,9.22,7.04,9.53,8.29,8.89,334NW,,,Slanted tree
KRQUBU2024,QUBU2024,-99.40356,30.06758,6/11/2026,36,11.6,7.27,6.54,9.97,10.98,166S,Yes,,
KRQUBU2025,QUBU2025,-99.40556,30.07110,6/11/2026,22,5.53,8.87,6.46,6.51,7.37,147SE,Yes,,Slanted tree
KRQULA012,QULA012,-99.40560,30.07122,6/11/2026,41,15.99,22.11,18.11,17.02,14.24,233SW,Yes,,
KRQUBU2026,QUBU2026,-99.40750,30.07452,6/11/2026,15,5.60,5.84,4.92,8.72,6.52,31NE,,,
KRQUSIB005,QUSIB005,-99.40812,30.06532,7/10/2026,20.5,8.31,7.20,6.37,6.39,9.98,267W,,,
KRQUSIB006,QUSIB006,-99.40791,30.06569,7/10/2026,18.8,6.25,4.9,4.42,3.9,3.77,122E,,,
KRQUSIB007,QUSIB007,-99.40780,30.06867,7/10/2026,13,3.71,6.57,5.49,8.59,,253W,,,CONFUSED WITH LAXEYI
KRQUBU2028,QUBU2028,-99.40764,30.06837,7/10/2026,40.5,17.18,10.61,15.17,13.6,12.34,138SE,,,
KRQULA013,QULA013,-99.40759,30.07032,7/10/2026,28,14.55,11.07,16.7,13.3,12.82,257SW,,,
KRQULA014,QULA014,-99.40758,30.07062,7/10/2026,27.5,17.65,11.02,16.64,9.88,10.6,25NE,,,
KRQULA015,QULA015,-99.41238,30.06967,7/10/2026,18,8.66,9.11,9.92,9.77,10.77,287W,,,
BNDQUBU2001,QUBU2001,-99.30906,29.89206,5/24/2026,50,11.47,10.35,10.52,10.35,10.75,,,Clumped multi-stem tree; random stem chosen; measured at 75 cm due to exposed roots above soil surface.,
BNDQULA004,QULA004,-99.31592,29.89491,5/24/2026,25.7,7.69,6.10,7.78,9.41,8.63,,,,
BNDQUBU2002,QUBU2002,-99.31653,29.89563,5/24/2026,42,11.39,11.86,11.18,13.84,14.2,,,,
BNDQUBU2003,QUBU2003,-99.31593,29.89718,5/24/2026,38,13.77,8.41,10.05,9.90,13.66,,,,
BNDQULA006,QULA006,-99.31575,29.89700,5/24/2026,45,19.09,13.38,14.51,12.89,13.24,,,,
BNDQUBU2004,QUBU2004,-99.31563,29.89720,5/24/2026,35,43.50,12.34,20.33,12.71,17.4,,,,
BNDQUBU2029,QUBU2028,-99.31107,29.89184,7/11/2026,37,7.96,6.34,17.69,14.25,11.67,303NW,,,
BNDQULA016,QULA016,-99.31110,29.89175,7/11/2026,44,15.14,16,14.93,13.97,14.12,236SW,,,
BNDQULA017,QULA017,-99.31231,29.89258,7/11/2026,29,14.17,10.51,10.27,14.3,16.09,2N,,,
BNDQUBU2030,QUBU2029,-99.31258,29.89360,7/11/2026,43.5,14.48,18.13,17.39,17.75,19.83,56NE,,,
BNDQUBU2031,QUBU2030,-99.31265,29.89432,7/11/2026,18.8,4.85,7.2,8.62,7.75,6.65,242SW,,,
BNDQULA018,QULA018,-99.31422,29.89425,7/11/2026,50,14.01,14.63,18.69,18.8,16.02,359N,,slanted tree,
