"TreeID","bark.thicknesses"
"QULA001",9.94108935655294
"QULA001",10.078127345028
"QULA001",10.2614709031273
"QULA001",10.1177528992515
"QULA001",10.1938562006285
"QULA001",10.3083056927457
"QULA001",10.4123173866714
"QULA001",10.0849093157753
"QULA001",9.76608551727845
"QULA001",9.90224384313063
"QULA001",10.0591507466328
"QULA001",10.1957174684173
"QULA001",10.2322103404928
"QULA001",10.4194639467177
"QULA001",10.6265541708046
"QULA001",10.6776657850599
"QULA001",10.5975615224204
"QULA001",10.7332975093064
"QULA001",10.6469043198367
"QULA001",10.4298576237447
"QULA001",10.1170673478034
"QULA001",9.96121660206013
"QULA001",9.80736846453846
"QULA001",9.83662562758888
"QULA001",9.90792150934067
"QULA001",9.85161293173986
"QULA001",9.85071523310542
"QULA001",9.99667134834048
"QULA001",10.1362907287858
"QULA001",9.92084173548644
"QULA001",9.32952126513712
"QULA001",8.64727537122718
"QULA001",8.44194794034461
"QULA001",8.49802693422014
"QULA001",8.70117827044745
"QULA001",8.89823168586737
"QULA001",9.10932860798167
"QULA001",8.90837122311754
"QULA001",8.11761650612125
"QULA001",7.7508212724985
"QULA001",7.24173616685253
"QULA001",6.62427825501173
"QULA001",6.44307420569788
"QULA001",6.58966058559761
"QULA001",6.8026867099075
"QULA001",6.97775175047718
"QULA001",7.18011002309701
"QULA001",7.42292907873117
"QULA001",7.6668634719744
"QULA001",7.91297403157948
"QULA001",8.19244948548629
"QULA001",8.48828419786753
"QULA001",8.79505164368671
"QULA001",9.10071405375166
"QULA001",9.40405349854109
"QULA001",9.69005246767356
"QULA001",9.94284088732005
"QULA001",10.1290990234681
"QULA001",9.96196144347042
"QULA001",9.81828684324715
"QULA001",10.1213871382596
"QULA001",10.4186020416452
"QULA001",10.6986335546547
"QULA001",10.9885842483401
"QULA001",11.306225938653
"QULA001",11.638310733131
"QULA001",11.786371366419
"QULA001",11.3235648147496
"QULA001",10.7333264093349
"QULA001",10.1485087466207
"QULA001",9.6059741021797
"QULA001",8.97932029249186
"QULA001",8.32762889170335
"QULA001",7.89167363821034
"QULA001",7.76978865715973
"QULA001",8.0358749057625
"QULA001",8.39849503580122
"QULA001",8.77891900178789
"QULA001",9.17734511023119
"QULA001",9.57577121867449
"QULA001",9.97419732711784
"QULA001",10.368058071697
"QULA001",10.7571791750916
"QULA001",11.0925752378634
"QULA001",11.0655961149755
"QULA001",10.9074449800289
"QULA001",11.006072288821
"QULA001",11.2966119810988
"QULA001",11.4954309827041
"QULA001",11.3655160718872
"QULA001",11.2488172701702
"QULA001",11.3797328838471
"QULA001",11.6067858756539
"QULA001",11.6890124836805
"QULA001",11.5476033148747
"QULA001",11.527335580403
"QULA001",11.2145874172218
"QULA001",10.8117585484454
"QULA001",10.5543817953461
"QULA001",10.3985524783903
"QULA001",10.4241942146351
